Type	Task Name Original	Task Name	Status Migração	Data	obs
VIEW	(VIEW - U_PRJ_ECOM.VW_AUDIT_VTEX_EXCEL_NOK)	U_PRJ_ECOM.VW_AUDIT_VTEX_EXCEL_NOK	Done		
VIEW	(VIEW - U_PRJ_ECOM.VW_AUDIT_VTEX_EXCEL_OK)	U_PRJ_ECOM.VW_AUDIT_VTEX_EXCEL_OK	Done		
VIEW	(VIEW - U_PRJ_ECOM.VW_RAW_VTEX_SSG_BR_SHOP_PROMOTION_TAX)	U_PRJ_ECOM.VW_RAW_VTEX_SSG_BR_SHOP_PROMOTION_TAX	Done		
VIEW	(VIEW - OW_LAO.VIEW_NERP_ZRCOS43400_TARGET)	OW_LAO.VIEW_NERP_ZRCOS43400_TARGET	Done		
VIEW	(VIEW - OW_LAO.VW_SDU_ODS_NERP_ZRSDD6A120_SALES_ORDER_TRACKING)	OW_LAO.VW_SDU_ODS_NERP_ZRSDD6A120_SALES_ORDER_TRACKING	Done		
VIEW	(VIEW - OW_LAO.VW_SDU_RAW_DATA_NERP_ZRSDD6A120_SALES_ORDER_TRACKING)	OW_LAO.VW_SDU_RAW_DATA_NERP_ZRSDD6A120_SALES_ORDER_TRACKING	Done		
VIEW	(VIEW - OW_LAO.VW_SDU_RAW_NERP_ZRSDB64000_EXTRACT_PRICE_MASTER)	OW_LAO.VW_SDU_RAW_NERP_ZRSDB64000_EXTRACT_PRICE_MASTER	Done		
VIEW	(VIEW - OW_SEDA_S.VW_AR_CLEARED)	OW_SEDA_S.VW_AR_CLEARED	To be migrated		
VIEW	(VIEW - OW_SEDA_S.VW_SDU_ODS_NERP_ZRSDB64000_EXTRACT_PRICE_MASTER)	OW_SEDA_S.VW_SDU_ODS_NERP_ZRSDB64000_EXTRACT_PRICE_MASTER	Done		
VIEW	(VIEW - OW_SEDA_S.VW_SDU_ODS_NERP_ZRSDD6A120_SALES_ORDER_TRACKING)	OW_SEDA_S.VW_SDU_ODS_NERP_ZRSDD6A120_SALES_ORDER_TRACKING	Done		
VIEW	(VIEW - OW_LAO.VIEW_ECOM_EXCHANGE_RATE)	OW_LAO.VIEW_ECOM_EXCHANGE_RATE	Done		
VIEW	(VIEW - OW_LAO.VW_TAB3_PMS_DW)	OW_LAO.VW_TAB3_PMS_DW	Done		
VIEW	(VIEW - OW_LAO.VIEW_VTEX_PAYMENTS)	OW_LAO.VIEW_VTEX_PAYMENTS	Done	02/01/2026	
VIEW	(VIEW - OW_LAO.VW_TAB1_PMS_DW)	OW_LAO.VW_TAB1_PMS_DW	Done		
VIEW	(VIEW - OW_LAO.VW_TAB2_PMS_DW)	OW_LAO.VW_TAB2_PMS_DW	Done		
VIEW	(VIEW - OW_SEDA_S.VW_SEDA_PREORDER)	OW_SEDA_S.VW_SEDA_PREORDER	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_EPP_STATUS_NEW_RULE)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_EPP_STATUS_NEW_RULE	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_RETROATIVO_TST)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_RETROATIVO_TST	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_BKP05052023)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_BKP05052023	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_BKP15062023)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_BKP15062023	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_BKP21062023)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_BKP21062023	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_BKP27042023)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_BKP27042023	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_PLATFORM_SEDA)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_PLATFORM_SEDA	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_SL)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_SL	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_bkp26052022)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_TST_bkp26052022	To be migrated		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_ORDERS_TRADEIN_PAYMENT)	U_PRJ_ECOM.VIEW_ECOM_ORDERS_TRADEIN_PAYMENT	Done		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_ORDERS_TRADE_IN_PAYMENT)	U_PRJ_ECOM.VIEW_ECOM_ORDERS_TRADE_IN_PAYMENT	Done		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_ORDERS_TRADE_IN_SYNAPCON)	U_PRJ_ECOM.VIEW_ECOM_ORDERS_TRADE_IN_SYNAPCON	Done		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PAYMENT)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PAYMENT	Done		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_GLOBAL_BI)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_GLOBAL_BI	Done		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_2)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_PAYMENT_SYNAPCOM_2	To be migrated		
VIEW	(VIEW - OW_LAO.VIEW_ECOM_ODS_GLOBAL_BI_SALES)	OW_LAO.VIEW_ECOM_ODS_GLOBAL_BI_SALES	Done		
VIEW	(VIEW - OW_LAO.VIEW_ODS_GLOBAL_BI_SALES)	OW_LAO.VIEW_ODS_GLOBAL_BI_SALES	Done		
VIEW	(VIEW - OW_LAO.VW_APPSFLYER_IN_APP_EVENTS)	OW_LAO.VW_APPSFLYER_IN_APP_EVENTS	Done		
VIEW	(VIEW - OW_SEDA_S.VW_ONLINE_SELL_IN)	OW_SEDA_S.VW_ONLINE_SELL_IN	Done		
VIEW	(VIEW - OW_LAO.VIEW_LAO_APPLYER_IN_APP_EVENTS_SAMCOL)	OW_LAO.VIEW_LAO_APPLYER_IN_APP_EVENTS_SAMCOL	Done		
VIEW	(VIEW - OW_LAO.VIEW_LAO_APPLYER_IN_APP_EVENTS_SEASA)	OW_LAO.VIEW_LAO_APPLYER_IN_APP_EVENTS_SEASA	Done		
VIEW	(VIEW - OW_LAO.VIEW_LAO_APPLYER_IN_APP_EVENTS_SECH)	OW_LAO.VIEW_LAO_APPLYER_IN_APP_EVENTS_SECH	Done		
VIEW	(VIEW - OW_LAO.VIEW_LAO_APPLYER_IN_APP_EVENTS_SEDA)	OW_LAO.VIEW_LAO_APPLYER_IN_APP_EVENTS_SEDA	Done		
VIEW	(VIEW - OW_LAO.VIEW_LAO_APPLYER_IN_APP_EVENTS_SEM)	OW_LAO.VIEW_LAO_APPLYER_IN_APP_EVENTS_SEM	Done		
VIEW	(VIEW - OW_LAO.VIEW_LAO_APPLYER_IN_APP_EVENTS_SEPR)	OW_LAO.VIEW_LAO_APPLYER_IN_APP_EVENTS_SEPR	Done		
VIEW	(VIEW - U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_COMBO)	U_PRJ_ECOM.VIEW_ECOM_HQ_ORDERS_PRODUCTS_COMBO	Done		
VIEW	(VIEW - OW_SEDA_S.VW_PORTAL_SM_UNION_SURSIS_ANGELIRA)	OW_SEDA_S.VW_PORTAL_SM_UNION_SURSIS_ANGELIRA	Done	08/01/2026	Depende das views: OW_SEDA_S.VW_SMPORTAL_DADOS_ANGELIRA | OW_SEDA_S.VW_PORTAL_SM_SURSIS
VIEW	(VIEW - OW_SEDA_S.VW_PORTAL_SM_SURSIS)	OW_SEDA_S.VW_PORTAL_SM_SURSIS	Done	08/01/2026	Depende da view: OW_SEDA_S.TF_PORTAL_SM_SURSIS_JOIN_1
VIEW	(VIEW - OW_SEDA_S.VW_SMPORTAL_DADOS_ANGELIRA)	OW_SEDA_S.VW_SMPORTAL_DADOS_ANGELIRA	Done	08/01/2026	Depended da view OW_SEDA_S.VW_SMPORTAL_DADOS_ANGELIRA_VIAGEM_ESCOLTA
